#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-200.0,54,5.051409
-325.0,53,5.058368
-180.0,92,5.070412
-200.0,121,5.08625
-190.0,41,5.091653
-190.0,32,5.095884
-20.0,19,5.098456
-40.0,33,5.102856
-205.0,44,5.108703
-295.0,71,5.118114
-225.0,64,5.126558
5.0,6,5.127392
15.0,20,5.130059
-105.0,16,5.132201
-140.0,15,5.134207
-45.0,26,5.137661
-110.0,12,5.139264
15.0,8,5.14036
-330.0,67,5.388784
10.0,7,5.389804
-10.0,15,5.391867
-390.0,112,5.406681
-180.0,22,5.409628
-350.0,66,5.418393
-105.0,13,5.420152
-230.0,63,5.428527
20.0,6,5.429369
-105.0,7,5.430337
-185.0,24,5.433552
-380.0,66,5.442298
15.0,8,5.443397
-100.0,8,5.444495
-45.0,29,5.448372
-95.0,6,5.449204
-35.0,28,5.452948
-140.0,18,5.455363
25.0,10,5.456719
-75.0,7,5.457681
-30.0,20,5.460375
-365.0,87,5.471861
-230.0,42,5.477437
-80.0,6,5.478266
-30.0,20,5.480951
-110.0,9,5.482173
-70.0,5,5.482873
-75.0,29,5.486733
0.0,8,5.487833
-105.0,10,5.489184
-80.0,6,5.490018
20.0,9,5.491254
20.0,9,5.492484
20.0,6,5.493318
15.0,5,5.494016
-10.0,12,5.495643
-120.0,22,5.498573
20.0,6,5.499409
-75.0,4,5.499969
-130.0,11,5.501452
125.0,8,5.502555
15.0,11,5.504046
10.0,13,5.505796
-35.0,31,5.509931
-235.0,32,5.514179
-135.0,19,5.516988
-5.0,16,5.519324
-345.0,76,5.529801
-165.0,25,5.533267
-5.0,16,5.535507
-80.0,6,5.536374
-50.0,28,5.540263
-20.0,16,5.54249
-195.0,28,5.546324
-210.0,34,5.550989
-100.0,11,5.552522
-45.0,32,5.556923
-505.0,155,5.577889
-135.0,19,5.580503
90.0,60,5.588409
-105.0,50,5.595021
-185.0,36,5.599739
-430.0,134,5.617196
-170.0,103,5.630715
-5.0,22,5.63363
-125.0,67,5.642424
10.0,22,5.645359
-20.0,13,5.647111
15.0,8,5.648199
-175.0,29,5.652042
-95.0,9,5.653265
15.0,8,5.654354
-10.0,12,5.655969
-325.0,92,5.955597
-85.0,5,5.956404
-40.0,21,5.959398
15.0,14,5.961405
-90.0,10,5.963252
10.0,10,5.96472
10.0,7,5.965745
-15.0,11,5.967319
-125.0,12,5.969012
-180.0,37,5.974341
-95.0,43,5.980494
-155.0,27,5.984482
-80.0,9,5.985783
-145.0,32,5.990421
-410.0,66,5.999731
-525.0,197,6.027918
-65.0,25,6.031443
-10.0,57,6.039607
-105.0,16,6.041866
-90.0,7,6.042864
-90.0,10,6.044266
-5.0,7,6.04528
35.0,6,6.046259
-100.0,8,6.047461
-160.0,26,6.051184
-25.0,18,6.053896
-160.0,38,6.059245
-90.0,7,6.060355
-305.0,87,6.072353
-35.0,19,6.075155
10.0,13,6.077063
15.0,17,6.079482
-160.0,20,6.082366
-240.0,64,6.091361
-130.0,20,6.094193
-260.0,69,6.104742
-210.0,49,6.112231
-75.0,4,6.112847
-150.0,25,6.116564
-115.0,23,6.1198
-155.0,21,6.122872
-340.0,80,6.133956
-45.0,29,6.138102
25.0,22,6.141215
-180.0,28,6.171008
-5.0,7,6.172091
-340.0,59,6.180098
-410.0,69,6.189489
-55.0,36,6.194508
15.0,11,6.196623
-130.0,17,6.199066
-340.0,92,6.211856
-245.0,51,6.218819
-85.0,5,6.219633
-75.0,4,6.220239
-155.0,33,6.224732
-150.0,37,6.229917
-125.0,12,6.23156
20.0,9,6.232801
-160.0,32,6.2378
-110.0,18,6.242412
-100.0,48,6.24966
-85.0,8,6.250895
-305.0,84,6.262844
-150.0,22,6.535806
5.0,15,6.538089
-125.0,12,6.539815
-80.0,6,6.540689
0.0,8,6.541847
-15.0,75,6.552359
-120.0,16,6.554596
-15.0,20,6.55746
-85.0,11,6.559009
-25.0,27,6.562721
15.0,11,6.564252
-100.0,8,6.565359
5.0,12,6.567052
-85.0,5,6.567762
-110.0,18,6.570207
-95.0,6,6.571051
-55.0,15,6.573113
-80.0,6,6.573957
-45.0,35,6.578728
-455.0,190,6.604891
-170.0,42,6.61081
5.0,15,6.612943
-215.0,57,6.621199
15.0,26,6.624905
-100.0,11,6.626476
-115.0,20,6.629265
-155.0,36,6.634235
-90.0,13,6.636081
-50.0,28,6.640002
5.0,6,6.640869
0.0,17,6.643239
-385.0,74,6.653327
-90.0,7,6.654323
10.0,16,6.656538
-70.0,5,6.657251
-230.0,66,6.666243
-85.0,51,6.673199
-105.0,7,6.674244
-80.0,34,6.679184
10.0,7,6.680199
40.0,13,6.682008
-95.0,6,6.682861
-80.0,6,6.683711
90.0,13,6.685536
