#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
15.0,5,13.368473
25.0,7,13.36949
-5.0,7,13.3705
5.0,12,13.372206
5.0,15,13.374427
20.0,9,13.375705
-15.0,29,13.379719
15.0,5,13.380451
5.0,6,13.381306
-10.0,12,13.382981
-170.0,79,13.393865
5.0,6,13.394806
-75.0,38,13.400151
15.0,5,13.400897
30.0,8,13.402029
-155.0,61,13.410574
10.0,7,13.411583
-5.0,7,13.412582
-350.0,130,13.430717
30.0,8,13.431861
30.0,8,13.432969
15.0,11,13.434604
30.0,8,13.435847
10.0,7,13.436848
25.0,13,13.438639
10.0,7,13.439625
25.0,7,13.440605
25.0,10,13.442082
15.0,17,13.444554
0.0,8,13.445718
-10.0,9,13.447006
20.0,6,13.447877
-80.0,22,13.45096
30.0,8,13.452079
10.0,7,13.453055
-35.0,16,13.455233
-5.0,7,13.456241
20.0,9,13.457478
10.0,7,13.458452
45.0,5,13.459163
20.0,6,13.459999
-5.0,7,13.460967
-5.0,22,13.464211
15.0,5,13.464954
5.0,21,13.467898
5.0,6,13.468767
-55.0,48,13.475461
10.0,13,13.477281
15.0,5,13.478008
0.0,11,13.479537
15.0,20,13.482268
-130.0,51,13.48904
15.0,17,13.491354
5.0,9,13.492576
10.0,7,13.493534
-5.0,13,13.495261
-95.0,12,13.496845
-280.0,123,13.513193
10.0,7,13.514186
5.0,9,13.515426
45.0,5,13.516136
45.0,11,13.517639
25.0,7,13.518718
15.0,5,13.519455
-35.0,31,13.523504
35.0,15,13.52559
20.0,9,13.526799
-70.0,27,13.530322
0.0,8,13.531395
0.0,11,13.532951
40.0,7,13.533928
10.0,7,13.534908
5.0,6,13.535746
-25.0,24,13.539054
25.0,7,13.54004
-120.0,53,13.547111
15.0,8,13.548203
-35.0,22,13.551065
20.0,6,13.551881
15.0,5,13.552562
50.0,12,13.554175
10.0,13,13.555891
5.0,6,13.556699
15.0,8,13.557772
35.0,9,13.558991
115.0,17,13.561246
5.0,6,13.56206
-80.0,43,13.567846
0.0,11,13.569325
-70.0,5,13.570011
30.0,11,13.822532
20.0,9,13.823967
15.0,14,13.825957
-15.0,23,13.82909
25.0,7,13.830073
-15.0,17,13.83264
-40.0,21,13.835574
-5.0,7,13.836583
5.0,6,13.837444
-10.0,9,13.838855
-40.0,21,13.841811
-55.0,24,13.845124
-5.0,7,13.846122
15.0,5,13.846845
15.0,5,13.847576
20.0,6,13.848434
-15.0,35,13.853778
-5.0,7,13.854792
15.0,5,13.855507
-60.0,38,13.860743
15.0,5,13.861462
15.0,17,13.863761
5.0,6,13.864598
-5.0,7,13.86567
-10.0,18,13.868285
15.0,8,13.869457
15.0,5,13.87025
15.0,5,13.870997
15.0,5,13.871738
-30.0,20,13.874575
0.0,14,13.876529
0.0,11,13.878057
-25.0,21,13.880993
30.0,8,13.882141
20.0,6,13.883015
15.0,5,13.883772
20.0,6,13.884647
-25.0,36,13.889698
-125.0,46,13.896162
0.0,26,13.899776
-115.0,45,13.905969
15.0,8,13.907192
5.0,12,13.908882
5.0,6,13.909741
15.0,5,13.910462
10.0,7,13.911453
-25.0,15,13.913518
-70.0,5,13.914221
-5.0,7,13.915205
-25.0,9,13.916459
15.0,5,13.917171
10.0,7,13.918152
15.0,11,13.919788
-5.0,7,13.920799
45.0,8,13.921963
25.0,7,13.922974
-5.0,7,13.923982
-5.0,10,13.925391
10.0,7,13.926389
-5.0,22,13.929436
45.0,5,13.930163
20.0,18,13.932664
25.0,7,13.933661
15.0,5,13.934386
10.0,7,13.935383
15.0,5,13.93611
5.0,6,13.936973
-15.0,11,13.938522
30.0,5,13.939254
25.0,5,13.939981
-10.0,15,13.942071
15.0,5,13.942795
5.0,6,13.943651
15.0,11,13.945203
45.0,5,13.945928
-45.0,44,13.952143
15.0,11,13.954064
5.0,9,13.955337
-30.0,32,13.959669
30.0,8,13.960852
15.0,5,13.961575
15.0,14,13.963532
10.0,7,13.964514
-5.0,25,13.967885
10.0,50,13.974616
5.0,21,13.9775
10.0,7,13.978478
5.0,9,13.979723
20.0,6,13.980565
15.0,5,13.981277
15.0,5,13.981987
-20.0,25,13.985607
0.0,8,13.986732
-5.0,7,13.987709
20.0,6,13.988551
-10.0,12,13.990225
40.0,7,13.991251
35.0,27,13.994883
-10.0,24,13.998283
-5.0,7,13.999294
-120.0,25,14.002752
25.0,7,14.003747
35.0,6,14.00461
15.0,5,14.005336
-5.0,7,14.006329
10.0,19,14.008986
5.0,9,14.010291
5.0,6,14.011203
-40.0,21,14.014088
-55.0,57,14.021725
5.0,6,14.022549
15.0,5,14.023237
0.0,14,14.02511
25.0,16,14.027229
20.0,6,14.028057
15.0,8,14.029144
-10.0,21,14.031905
15.0,14,14.033753
10.0,7,14.034698
-45.0,23,14.03769
-5.0,25,14.040967
20.0,6,14.041791
-25.0,21,14.04453
145.0,26,14.047947
10.0,7,14.048897
5.0,6,14.049715
5.0,9,14.050916
-5.0,7,14.051866
5.0,6,14.052681
20.0,6,14.053491
35.0,6,14.054297
0.0,8,14.055365
-20.0,13,14.057071
15.0,8,14.058142
-15.0,23,14.061179
-120.0,38,14.066123
35.0,6,14.066943
25.0,7,14.067889
20.0,6,14.0687
-45.0,11,14.070159
-25.0,18,14.072665
5.0,6,14.073528
15.0,5,14.074238
-50.0,22,14.077198
-110.0,67,14.086032
45.0,5,14.086727
-15.0,14,14.088631
-5.0,7,14.089591
-70.0,51,14.096336
0.0,8,14.097461
10.0,10,14.098829
20.0,15,14.100947
-5.0,7,14.103013
30.0,8,14.104153
-10.0,18,14.106664
20.0,6,14.107523
15.0,11,14.359512
-90.0,7,14.360591
70.0,17,14.363661
0.0,11,14.365324
30.0,8,14.36659
-15.0,17,14.368974
5.0,6,14.369846
25.0,7,14.370842
5.0,6,14.371843
5.0,18,14.374776
-15.0,11,14.376485
0.0,14,14.378496
-15.0,17,14.381131
5.0,6,14.382046
-5.0,7,14.383061
-5.0,7,14.384056
20.0,6,14.385007
-80.0,37,14.390087
20.0,6,14.390954
-25.0,33,14.395573
-5.0,10,14.397032
5.0,6,14.39791
25.0,7,14.398915
5.0,6,14.399774
-50.0,16,14.401989
-15.0,11,14.403529
-10.0,9,14.404796
20.0,9,14.406057
15.0,11,14.407624
15.0,5,14.408354
15.0,5,14.40908
70.0,41,14.414692
15.0,5,14.415413
10.0,10,14.416852
-50.0,95,14.430006
15.0,5,14.430731
45.0,8,14.43184
0.0,17,14.434156
-45.0,35,14.438961
-5.0,40,14.444736
50.0,6,14.445603
-5.0,7,14.446596
0.0,8,14.447721
20.0,6,14.448572
5.0,21,14.451441
15.0,5,14.452162
115.0,6,14.453022
10.0,10,14.454405
15.0,5,14.455117
50.0,6,14.455969
-15.0,38,14.461297
5.0,6,14.462204
20.0,6,14.463093
-45.0,29,14.467236
-5.0,7,14.46824
15.0,5,14.468962
25.0,7,14.469954
20.0,6,14.470805
20.0,6,14.471655
-15.0,14,14.473684
-35.0,22,14.476806
20.0,9,14.478107
45.0,8,14.47926
-160.0,17,14.482311
-20.0,19,14.484986
0.0,14,14.486953
-85.0,8,14.488081
20.0,9,14.489372
-25.0,21,14.493673
25.0,19,14.496292
5.0,9,14.497558
-85.0,11,14.49915
-80.0,6,14.500009
-145.0,75,14.510257
15.0,11,14.511789
-5.0,13,14.513571
-190.0,54,14.520808
70.0,10,14.522187
-20.0,13,14.524121
5.0,12,14.525884
-90.0,65,14.534935
-75.0,50,14.541851
20.0,6,14.542701
-85.0,8,14.543815
20.0,9,14.545061
-15.0,11,14.546575
0.0,8,14.547683
-15.0,8,14.548794
5.0,18,14.55124
5.0,9,14.552484
5.0,6,14.553326
15.0,5,14.554033
-20.0,13,14.555817
-15.0,8,14.55693
175.0,29,14.56074
35.0,9,14.561953
70.0,13,14.563665
-5.0,10,14.564999
15.0,8,14.566071
-25.0,33,14.570354
5.0,6,14.571176
40.0,7,14.572116
-75.0,4,14.572664
5.0,6,14.573477
20.0,6,14.574288
5.0,9,14.575499
-15.0,23,14.578489
15.0,5,14.579178
-30.0,17,14.581404
15.0,5,14.582172
-5.0,7,14.58317
20.0,9,14.584392
-30.0,17,14.586663
15.0,5,14.587376
15.0,8,14.588462
20.0,6,14.589283
5.0,6,14.590102
-95.0,12,14.591693
-70.0,42,14.597481
35.0,9,14.598723
-90.0,10,14.60006
30.0,8,14.601144
20.0,12,14.602749
15.0,5,14.603433
50.0,15,14.605439
20.0,6,14.606253
-15.0,11,14.607718
15.0,8,14.608799
-100.0,48,14.615024
125.0,22,14.617911
5.0,6,14.618728
15.0,5,14.619414
-5.0,19,14.6219
5.0,12,14.623501
-20.0,13,14.625221
-50.0,58,14.632663
15.0,5,14.633345
-30.0,14,14.635197
5.0,6,14.636012
20.0,6,14.636822
10.0,13,14.63853
-10.0,12,14.640113
25.0,10,14.641436
-30.0,17,14.643659
10.0,19,14.64615
25.0,7,14.647088
-5.0,7,14.648032
5.0,6,14.648837
-5.0,7,14.649775
15.0,8,14.650845
15.0,5,14.651524
20.0,21,14.924365
-15.0,44,14.931044
35.0,6,14.931969
15.0,5,14.93272
-5.0,7,14.933747
-30.0,17,14.93615
5.0,6,14.937012
20.0,6,14.937867
5.0,6,14.938719
-15.0,11,14.940237
30.0,5,14.940949
-5.0,7,14.94193
-90.0,7,14.942897
25.0,13,14.944674
35.0,12,14.946319
45.0,42,14.951974
-5.0,7,14.952961
0.0,8,14.954079
-10.0,24,14.95733
-30.0,17,14.959648
10.0,7,14.960631
50.0,6,14.961474
35.0,6,14.962316
5.0,6,14.963158
25.0,7,14.964125
5.0,6,14.96497
0.0,11,14.966469
-5.0,13,14.968235
5.0,6,14.969079
5.0,6,14.969921
15.0,5,14.970627
-5.0,7,14.971602
-35.0,16,14.973762
-85.0,39,14.978942
-5.0,7,14.97991
-30.0,26,14.983378
-10.0,15,14.985409
20.0,6,14.986248
-60.0,44,14.992058
15.0,11,14.99355
-5.0,13,14.995309
5.0,9,14.996554
15.0,8,14.997651
-80.0,6,14.998478
0.0,11,14.999979
25.0,7,15.00094
-35.0,31,15.005038
45.0,5,15.005742
-20.0,19,15.008277
0.0,23,15.011348
10.0,7,15.012313
10.0,7,15.013274
45.0,11,15.014762
30.0,11,15.016256
20.0,6,15.01709
20.0,9,15.018306
-80.0,6,15.019127
10.0,7,15.020087
-80.0,6,15.020907
15.0,5,15.021612
-15.0,26,15.025044
-45.0,23,15.028083
15.0,5,15.028775
-50.0,34,15.033271
-255.0,165,15.054898
20.0,6,15.055735
15.0,5,15.056441
15.0,5,15.057141
30.0,11,15.058638
15.0,5,15.059348
5.0,6,15.060184
10.0,7,15.061154
40.0,10,15.062518
-5.0,7,15.063487
-100.0,11,15.064974
-95.0,9,15.066193
20.0,15,15.068209
25.0,7,15.069171
15.0,5,15.069876
-5.0,7,15.070842
-20.0,19,15.073385
5.0,6,15.074224
85.0,14,15.07613
5.0,6,15.076969
-5.0,7,15.07793
20.0,9,15.079178
25.0,7,15.080147
20.0,15,15.082164
15.0,11,15.08366
15.0,5,15.084361
5.0,6,15.08519
15.0,5,15.085893
20.0,6,15.086726
5.0,18,15.089126
-10.0,27,15.092722
-5.0,7,15.093688
5.0,6,15.094523
-55.0,18,15.096942
10.0,7,15.097918
15.0,5,15.098624
-35.0,13,15.100387
15.0,5,15.10109
-35.0,28,15.106113
-5.0,7,15.107136
20.0,9,15.108696
20.0,6,15.109588
-30.0,26,15.11316
-30.0,32,15.117492
0.0,14,15.119407
-85.0,8,15.120511
15.0,5,15.121232
15.0,8,15.122351
-5.0,19,15.124844
140.0,7,15.125792
-85.0,63,15.133932
0.0,8,15.135019
-5.0,10,15.136353
15.0,5,15.137048
-10.0,9,15.138257
30.0,11,15.139717
-15.0,14,15.141554
10.0,10,15.142879
-95.0,9,15.144063
-90.0,7,15.14499
0.0,8,15.146062
10.0,7,15.146997
-235.0,111,15.161187
-5.0,7,15.163202
-15.0,26,15.166597
15.0,5,15.167284
-5.0,7,15.168223
-75.0,7,15.169158
-35.0,37,15.173931
100.0,8,15.175016
30.0,14,15.176865
5.0,6,15.17767
-5.0,7,15.178608
-15.0,14,15.180441
0.0,20,15.18305
15.0,5,15.183737
15.0,8,15.184812
5.0,12,15.186396
-40.0,18,15.188906
35.0,9,15.190178
15.0,5,15.190893
15.0,5,15.191595
5.0,6,15.192429
25.0,7,15.193401
-5.0,7,15.194355
10.0,7,15.195308
-5.0,7,15.196256
5.0,6,15.197067
-45.0,12,15.198653
120.0,18,15.201047
-5.0,7,15.201987
-25.0,18,15.44793
-160.0,39,15.453368
5.0,6,15.454243
0.0,11,15.455793
-35.0,20,15.45857
25.0,7,15.459577
0.0,14,15.461528
-40.0,21,15.464418
15.0,5,15.465148
125.0,5,15.46588
0.0,14,15.467817
-30.0,14,15.469775
-10.0,15,15.471858
5.0,6,15.47272
20.0,12,15.474384
20.0,6,15.475244
35.0,21,15.478133
5.0,6,15.478997
0.0,8,15.480134
15.0,5,15.480862
5.0,6,15.481716
40.0,7,15.482712
20.0,6,15.483575
35.0,9,15.484835
15.0,5,15.485559
25.0,10,15.486956
5.0,6,15.487806
-5.0,7,15.488791
15.0,11,15.490327
-150.0,56,15.497934
20.0,6,15.498791
-15.0,23,15.50194
-15.0,14,15.503873
-60.0,14,15.505801
-5.0,19,15.508397
15.0,5,15.509117
5.0,9,15.510388
-10.0,9,15.511645
-25.0,15,15.513706
5.0,27,15.517379
0.0,8,15.518675
-5.0,7,15.519704
-75.0,53,15.526796
5.0,6,15.527636
20.0,6,15.528479
15.0,5,15.529188
15.0,5,15.529886
5.0,9,15.531119
140.0,7,15.532101
-10.0,21,15.534908
15.0,5,15.535612
-25.0,21,15.538445
5.0,6,15.539284
45.0,11,15.540781
10.0,7,15.54176
-15.0,11,15.543254
45.0,11,15.544743
120.0,6,15.545587
-10.0,21,15.548384
30.0,6,15.549222
25.0,10,15.550583
-235.0,69,15.559715
20.0,6,15.560554
-60.0,20,15.563219
-10.0,24,15.566421
-5.0,7,15.567393
5.0,6,15.568237
-170.0,52,15.575116
-85.0,51,15.581851
35.0,6,15.582687
15.0,5,15.583391
0.0,8,15.584494
-105.0,53,15.591511
-15.0,11,15.592994
10.0,10,15.594357
65.0,9,15.595587
-80.0,6,15.59641
-5.0,7,15.597379
10.0,10,15.598747
120.0,12,15.600375
25.0,7,15.601337
-10.0,12,15.602967
5.0,6,15.603804
-55.0,30,15.607788
-145.0,75,15.617654
50.0,15,15.619672
15.0,17,15.621968
-5.0,34,15.626456
-5.0,13,15.628199
-25.0,12,15.629827
-25.0,15,15.631838
35.0,12,15.633461
-35.0,16,15.635608
10.0,13,15.63737
5.0,12,15.639002
25.0,19,15.641536
-80.0,6,15.642363
-15.0,11,15.643853
-70.0,30,15.647753
5.0,12,15.649331
20.0,6,15.650141
5.0,6,15.650944
5.0,6,15.651741
-5.0,7,15.652677
-60.0,29,15.656388
0.0,8,15.657443
10.0,16,15.659531
10.0,7,15.660464
-25.0,15,15.662405
155.0,16,15.664477
-105.0,10,15.665781
15.0,8,15.666836
25.0,10,15.668155
15.0,23,15.671113
15.0,5,15.671787
5.0,6,15.672589
15.0,5,15.673267
30.0,14,15.675089
15.0,5,15.683361
10.0,7,15.68432
135.0,36,15.689007
0.0,11,15.690456
0.0,29,15.694203
20.0,6,15.698862
15.0,5,15.699583
-15.0,14,15.701457
-5.0,7,15.702398
20.0,6,15.703218
15.0,5,15.703907
20.0,6,15.704726
-5.0,16,15.706913
40.0,10,15.708276
10.0,7,15.709222
-80.0,9,15.710415
5.0,12,15.711995
-15.0,14,15.713851
20.0,6,15.71466
5.0,9,15.715859
15.0,5,15.716537
-50.0,31,15.720574
120.0,7,15.72153
10.0,7,15.722477
50.0,18,15.724817
10.0,10,15.72615
-130.0,57,15.733554
140.0,7,15.734512
15.0,5,15.735192
-45.0,32,15.998985
10.0,7,16.000104
-210.0,80,16.011153
5.0,6,16.012043
45.0,5,16.012775
-115.0,72,16.022621
15.0,11,16.02417
5.0,6,16.025031
10.0,7,16.026031
0.0,29,16.03002
15.0,5,16.030742
25.0,7,16.031738
-25.0,15,16.033829
15.0,5,16.034548
15.0,5,16.035272
-5.0,22,16.038303
20.0,9,16.039572
20.0,6,16.040433
-15.0,32,16.044794
5.0,6,16.045658
-140.0,79,16.056337
-25.0,12,16.058001
-5.0,7,16.058991
-5.0,7,16.059984
25.0,7,16.060978
-120.0,26,16.064526
15.0,5,16.065247
25.0,7,16.066238
15.0,5,16.066952
5.0,9,16.068211
10.0,7,16.069209
15.0,5,16.069927
15.0,5,16.070642
-5.0,7,16.071623
130.0,6,16.072479
-115.0,51,16.079373
5.0,6,16.080224
30.0,8,16.081351
20.0,12,16.083014
15.0,5,16.083732
5.0,27,16.087391
35.0,9,16.088649
15.0,5,16.089364
15.0,8,16.090484
5.0,6,16.091335
-5.0,16,16.093535
20.0,6,16.094391
25.0,7,16.095375
15.0,5,16.096094
-70.0,42,16.101808
-10.0,27,16.105492
-20.0,16,16.107686
-10.0,15,16.109745
45.0,20,16.112475
15.0,5,16.113187
15.0,5,16.113903
15.0,5,16.114619
0.0,11,16.116152
-40.0,18,16.118629
15.0,5,16.119343
15.0,8,16.120462
35.0,6,16.121317
-160.0,51,16.12824
15.0,14,16.130186
50.0,9,16.13145
10.0,7,16.132443
-10.0,21,16.135298
0.0,8,16.136422
45.0,5,16.137145
-35.0,22,16.140152
5.0,6,16.141453
15.0,5,16.142348
25.0,10,16.143828
15.0,11,16.145417
5.0,15,16.147516
20.0,6,16.148392
15.0,11,16.149919
20.0,6,16.150777
10.0,7,16.151765
-5.0,13,16.153761
-25.0,18,16.156221
5.0,6,16.157064
5.0,6,16.157911
-50.0,25,16.161291
10.0,7,16.162274
15.0,5,16.162982
10.0,7,16.164066
5.0,9,16.16542
35.0,12,16.167122
45.0,5,16.167849
-5.0,7,16.168847
5.0,12,16.170534
20.0,6,16.171436
-10.0,9,16.172698
5.0,15,16.174863
-30.0,26,16.178722
-10.0,9,16.180068
20.0,6,16.180958
25.0,7,16.181974
5.0,6,16.182847
20.0,6,16.183716
-10.0,51,16.190933
10.0,13,16.192806
-35.0,10,16.194232
25.0,7,16.195246
30.0,8,16.19645
10.0,7,16.197466
10.0,16,16.199779
-85.0,42,16.205311
15.0,5,16.206013
15.0,5,16.206711
25.0,7,16.20778
-15.0,14,16.209707
-70.0,5,16.210403
-130.0,75,16.220291
-15.0,8,16.221386
15.0,11,16.222868
30.0,8,16.223954
-50.0,25,16.227276
-5.0,10,16.228628
15.0,8,16.229724
-85.0,8,16.23081
-60.0,44,16.23661
-50.0,41,16.242313
15.0,8,16.243423
10.0,7,16.244389
-10.0,18,16.246778
5.0,6,16.247617
10.0,13,16.249367
90.0,24,16.252601
25.0,7,16.253589
-45.0,50,16.260073
15.0,5,16.260768
45.0,5,16.261466
15.0,5,16.262149
0.0,17,16.264424
0.0,8,16.265516
145.0,14,16.26737
30.0,14,16.269366
15.0,5,16.270073
-15.0,11,16.271557
5.0,9,16.272776
5.0,6,16.273595
10.0,7,16.274554
15.0,5,16.275316
15.0,17,16.277624
25.0,7,16.27859
45.0,11,16.280075
-100.0,11,16.580532
25.0,7,16.581655
-5.0,7,16.582681
-10.0,9,16.583972
-10.0,9,16.585252
15.0,5,16.585979
45.0,5,16.586703
25.0,7,16.587708
-45.0,41,16.5933
0.0,8,16.594446
15.0,5,16.59538
-20.0,19,16.59811
-40.0,54,16.60576
-30.0,38,16.611201
35.0,12,16.612902
-15.0,17,16.616213
-30.0,20,16.619128
115.0,17,16.621511
30.0,8,16.622784
-5.0,19,16.625419
-235.0,72,16.63564
25.0,19,16.638344
5.0,15,16.640463
20.0,6,16.64134
40.0,10,16.642761
45.0,8,16.643966
20.0,6,16.644834
5.0,6,16.645694
-175.0,48,16.652265
35.0,15,16.654331
5.0,6,16.655183
45.0,5,16.655897
5.0,9,16.657217
10.0,25,16.660613
-20.0,13,16.662395
15.0,5,16.663105
15.0,5,16.663817
20.0,18,16.666259
5.0,12,16.667892
35.0,27,16.671564
50.0,6,16.672416
15.0,5,16.673131
20.0,6,16.673975
5.0,12,16.675617
-10.0,9,16.676855
-15.0,8,16.678058
15.0,5,16.67878
10.0,7,16.679758
50.0,6,16.680595
20.0,6,16.68144
-5.0,7,16.682406
25.0,7,16.683386
30.0,14,16.68541
0.0,14,16.687396
-70.0,48,16.694103
20.0,21,16.696997
10.0,10,16.698397
-15.0,17,16.70086
-15.0,11,16.702372
15.0,5,16.703081
5.0,12,16.704722
-60.0,20,16.70752
25.0,7,16.708503
15.0,5,16.709219
25.0,7,16.7102
25.0,7,16.711186
30.0,11,16.712946
15.0,5,16.713706
-60.0,35,16.718887
40.0,10,16.720483
0.0,14,16.722563
-40.0,27,16.727105
25.0,10,16.728821
-25.0,27,16.732595
35.0,6,16.733586
10.0,10,16.735148
-25.0,15,16.737313
20.0,6,16.738201
-15.0,14,16.740963
10.0,7,16.742145
0.0,17,16.744599
10.0,13,16.748141
-55.0,36,16.753951
15.0,5,16.754837
20.0,12,16.756554
35.0,9,16.758774
25.0,10,16.763339
20.0,6,16.764481
-145.0,72,16.778431
25.0,10,16.779894
-10.0,12,16.782544
15.0,5,16.783405
5.0,6,16.784352
25.0,10,16.785801
15.0,5,16.78654
15.0,5,16.787254
15.0,8,16.788939
15.0,5,16.790177
0.0,11,16.791922
20.0,6,16.7928
0.0,8,16.794002
10.0,7,16.795025
15.0,5,16.796618
-75.0,7,16.797912
-40.0,21,16.800895
-5.0,7,16.802252
5.0,6,16.803565
20.0,6,16.804529
-10.0,15,16.806691
-25.0,24,16.811706
-5.0,16,16.814101
20.0,6,16.814989
15.0,11,16.819981
15.0,5,16.820793
-105.0,13,16.822682
10.0,10,16.824305
35.0,6,16.825266
-25.0,30,16.830278
-5.0,16,16.833917
-25.0,9,16.835656
15.0,5,16.836722
20.0,15,16.839655
25.0,19,16.842465
15.0,11,16.844146
45.0,17,16.848886
-5.0,7,16.852262
-10.0,12,16.85461
-5.0,7,16.856011
25.0,7,16.857112
-5.0,7,16.862544
5.0,6,16.865573
35.0,9,16.868561
-5.0,7,16.881114
10.0,7,16.884795
15.0,20,16.896748
20.0,9,16.898172
-5.0,7,16.900482
-5.0,7,16.901821
135.0,6,16.903166
5.0,9,16.904651
10.0,10,16.906164
15.0,8,16.907569
20.0,9,16.90892
-15.0,17,16.911505
20.0,6,16.912448
15.0,5,16.9132
15.0,17,16.915798
-5.0,13,16.917665
15.0,5,16.918421
15.0,8,16.919559
5.0,15,16.921725
-10.0,27,16.925453
5.0,6,16.926292
75.0,27,16.9302
0.0,11,16.931845
0.0,8,16.932977
-80.0,37,16.938344
20.0,9,16.939748
0.0,11,17.216789
0.0,8,17.218043
25.0,10,17.219642
45.0,5,17.220481
25.0,7,17.221514
15.0,5,17.222244
25.0,7,17.223252
-15.0,11,17.224796
15.0,5,17.225509
5.0,9,17.22681
-30.0,26,17.230351
15.0,8,17.231466
0.0,20,17.23439
5.0,6,17.235306
25.0,7,17.236335
15.0,5,17.237075
0.0,8,17.23822
15.0,5,17.238946
10.0,7,17.239946
15.0,5,17.240774
-155.0,79,17.251808
-5.0,13,17.25366
5.0,6,17.254538
25.0,7,17.25556
-10.0,9,17.256843
5.0,9,17.258125
-75.0,35,17.262967
10.0,7,17.263981
20.0,6,17.264837
10.0,10,17.266257
-5.0,7,17.267252
-5.0,7,17.268314
15.0,8,17.26946
20.0,9,17.270739
15.0,5,17.271475
45.0,5,17.272201
-10.0,15,17.274292
-15.0,26,17.278252
15.0,5,17.279003
30.0,8,17.28016
-5.0,7,17.281163
-5.0,7,17.28222
5.0,6,17.283101
0.0,8,17.284237
140.0,7,17.285247
-85.0,48,17.291908
-5.0,16,17.294128
5.0,6,17.294991
5.0,6,17.2959
-20.0,19,17.298572
-5.0,7,17.299566
25.0,7,17.300557
-25.0,18,17.30589
5.0,6,17.306785
-15.0,32,17.311277
15.0,5,17.312016
20.0,6,17.312882
-90.0,13,17.315485
-85.0,21,17.318435
20.0,6,17.319315
-70.0,39,17.324725
-10.0,9,17.326011
5.0,6,17.326878
-20.0,16,17.329113
25.0,16,17.331347
10.0,10,17.33276
5.0,6,17.333628
5.0,6,17.334494
20.0,6,17.33536
60.0,17,17.337733
5.0,9,17.339013
25.0,7,17.340011
5.0,6,17.340874
10.0,10,17.34228
5.0,6,17.343141
-20.0,19,17.34577
30.0,11,17.347314
40.0,7,17.348316
-20.0,22,17.351354
10.0,10,17.352758
-10.0,15,17.354844
5.0,6,17.355712
5.0,6,17.356573
-25.0,24,17.359885
0.0,14,17.361826
20.0,12,17.363515
-5.0,19,17.366152
-55.0,33,17.370704
0.0,8,17.371839
20.0,6,17.372692
5.0,9,17.373966
5.0,6,17.374832
-45.0,38,17.380055
30.0,5,17.380782
35.0,15,17.382866
30.0,8,17.384004
-25.0,24,17.387321
5.0,6,17.38818
-45.0,29,17.392182
105.0,21,17.395085
10.0,7,17.396087
15.0,5,17.396814
50.0,9,17.398083
45.0,5,17.398804
25.0,13,17.400625
-15.0,11,17.402164
10.0,7,17.403172
15.0,5,17.403898
10.0,10,17.40531
-5.0,16,17.407545
20.0,6,17.408484
-155.0,76,17.418646
-75.0,44,17.424383
15.0,5,17.425072
15.0,5,17.425758
-45.0,17,17.428
-5.0,10,17.429331
0.0,8,17.430411
5.0,6,17.431232
-5.0,25,17.43451
5.0,9,17.43572
5.0,6,17.436536
30.0,8,17.437615
20.0,6,17.438427
10.0,7,17.439388
-30.0,26,17.442813
15.0,5,17.443501
20.0,6,17.444322
15.0,5,17.445004
15.0,5,17.445682
-5.0,7,17.446623
-30.0,23,17.449648
25.0,7,17.450592
10.0,13,17.452313
15.0,5,17.453003
-5.0,7,17.453948
-5.0,10,17.455282
5.0,21,17.458053
-55.0,45,17.463893
-85.0,8,17.46497
5.0,6,17.465795
5.0,9,17.467001
25.0,7,17.467956
10.0,7,17.468917
-20.0,19,17.471403
-25.0,18,17.47377
-20.0,16,17.475872
20.0,6,17.476687
-100.0,45,17.482514
-70.0,42,17.487963
15.0,5,17.488648
5.0,6,17.489452
15.0,5,17.490137
5.0,9,17.491333
20.0,12,17.49291
0.0,11,17.494373
25.0,7,17.495311
-5.0,16,17.497409
0.0,11,17.498883
5.0,9,17.50009
30.0,11,17.501551
15.0,5,17.502237
-80.0,34,17.506662
5.0,6,17.50748
5.0,6,17.508292
10.0,19,17.864618
35.0,6,17.865675
-5.0,7,17.867189
-65.0,40,17.873487
105.0,7,17.874587
10.0,10,17.876304
10.0,7,17.877379
0.0,11,17.879014
-15.0,20,17.882357
15.0,5,17.88313
0.0,8,17.884387
25.0,10,17.885841
5.0,6,17.886906
25.0,7,17.888038
-25.0,15,17.890264
135.0,15,17.892468
120.0,6,17.893636
10.0,10,17.895065
5.0,6,17.895937
20.0,6,17.896798
-5.0,19,17.899417
15.0,8,17.900617
0.0,8,17.90185
35.0,9,17.903196
5.0,6,17.904087
-100.0,51,17.911405
-5.0,13,17.913228
30.0,8,17.914791
5.0,6,17.915686
5.0,6,17.916555
5.0,6,17.917428
15.0,8,17.918685
10.0,19,17.921969
10.0,7,17.923266
5.0,6,17.924145
15.0,8,17.925279
-5.0,7,17.926277
-15.0,11,17.927957
5.0,6,17.928937
10.0,7,17.930013
25.0,10,17.931488
5.0,6,17.932393
25.0,7,17.933439
20.0,6,17.934329
20.0,6,17.935464
45.0,5,17.936551
35.0,9,17.938013
-5.0,7,17.939077
5.0,6,17.939986
15.0,11,17.941538
-10.0,12,17.94323
10.0,7,17.944232
25.0,7,17.945232
20.0,6,17.946193
-50.0,28,17.95027
-5.0,10,17.9518
5.0,15,17.953931
-50.0,43,17.960195
15.0,8,17.961407
5.0,9,17.962712
-10.0,15,17.965107
5.0,10,17.966766
